model,iso3,country_name,bloc,region,n_bp1,yes_bp1,yes_rate_bp1,ci_lo_bp1,ci_hi_bp1,n_sp,yes_sp,yes_rate_sp,ci_lo_sp,ci_hi_sp,delta_yes_rate_sp_minus_bp1
chatgpt-4o,RUS,Russian Federation,BRICS,Other,15,15.0,1.0,1.0,1.0,15,15.0,1.0,1.0,1.0,0.0
chatgpt-4o,CHN,China,BRICS,Asia,15,11.0,0.7333333333333333,0.5095408368517008,0.9571258298149656,15,11.0,0.7333333333333333,0.5095408368517008,0.9571258298149656,0.0
chatgpt-4o,IND,India,BRICS,Asia,15,10.0,0.6666666666666666,0.4281030638421943,0.9052302694911388,15,9.0,0.6,0.352077431442799,0.8479225685572009,-0.06666666666666665
chatgpt-4o,BRA,Brazil,BRICS,South America,15,9.0,0.6,0.352077431442799,0.8479225685572009,15,8.0,0.5333333333333333,0.2808613473552773,0.7858053193113893,-0.06666666666666665
chatgpt-4o,ZAF,South Africa,BRICS,Africa,15,8.0,0.5333333333333333,0.2808613473552773,0.7858053193113893,15,8.0,0.5333333333333333,0.2808613473552773,0.7858053193113893,0.0
chatgpt-4o,LVA,Latvia,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,8.0,0.5333333333333333,0.2808613473552773,0.7858053193113893,0.06666666666666665
chatgpt-4o,AUT,Austria,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,BEL,Belgium,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,BGR,Bulgaria,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,CYP,Cyprus,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,CZE,Czechia,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,DEU,Germany,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,DNK,Denmark,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,ESP,Spain,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,EST,Estonia,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,FIN,Finland,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,FRA,France,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,GRC,Greece,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,HRV,Croatia,EU,Europe,15,8.0,0.5333333333333333,0.2808613473552773,0.7858053193113893,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,-0.06666666666666665
chatgpt-4o,HUN,Hungary,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,IRL,Ireland,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,ITA,Italy,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,LTU,Lithuania,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,LUX,Luxembourg,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,MLT,Malta,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,NLD,Netherlands,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,POL,Poland,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
chatgpt-4o,PRT,Portugal,EU,Europe,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,15,7.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,0.0
