model_key,iso3,country_name,bloc,yes_rate,ci_low,ci_high,uk_embargo_flag
llama3.3,PRK,"Korea, Democratic People's Republic of",Other,0.8,0.5975720704382257,1.0,1
llama3.3,IRN,"Iran, Islamic Republic of",Other,0.8,0.5975720704382257,1.0,1
llama3.3,PRK,"Korea, Democratic People's Republic of",Other,0.8,0.5975720704382257,1.0,1
llama3.3,IRN,"Iran, Islamic Republic of",Other,0.8,0.5975720704382257,1.0,1
llama3.3,SYR,Syrian Arab Republic,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
llama3.3,SYR,Syrian Arab Republic,Other,0.6,0.352077431442799,0.8479225685572009,1
llama3.3,RUS,Russian Federation,BRICS,0.6,0.352077431442799,0.8479225685572009,1
llama3.3,SDN,Sudan,Other,0.6,0.352077431442799,0.8479225685572009,1
llama3.3,TKM,Turkmenistan,Other,0.6,0.352077431442799,0.8479225685572009,0
llama3.3,SDN,Sudan,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,UMI,United States Minor Outlying Islands,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,ERI,Eritrea,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,CUB,Cuba,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,UZB,Uzbekistan,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,LBY,Libya,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,BLR,Belarus,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,VEN,"Venezuela, Bolivarian Republic of",Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,YEM,Yemen,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,IRQ,Iraq,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,KWT,Kuwait,GCC,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,AFG,Afghanistan,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,SAU,Saudi Arabia,GCC,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,CAF,Central African Republic,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,PAK,Pakistan,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,SAU,Saudi Arabia,GCC,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,MAR,Morocco,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,DZA,Algeria,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,MMR,Myanmar,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
llama3.3,ISR,Israel,Other,0.5333333333333333,0.2808613473552773,0.7858053193113893,0
llama3.3,CHN,China,BRICS,0.5333333333333333,0.2808613473552773,0.7858053193113893,1
